x,y,lum,HIPnum
0.023287037037037037,0.3232314814814815,2.07,677.0
0.02611111111111111,-0.4916999999999998,3.88,765.0
0.03675925925925926,0.1687067901234567,2.83,1067.0
0.053935185185185176,-0.0797351851851851,3.56,1562.0
0.057175925925925936,0.09100277777777785,5.38,1645.0
0.07277777777777779,-0.47022314814814825,3.93,2072.0
0.07296296296296297,-0.4632765432098766,2.4,2081.0
0.10921296296296298,0.3429024691358025,3.27,3092.0
0.12106481481481479,-0.17792561728395054,2.04,3419.0
0.13412037037037036,0.08111018518518513,5.92,3760.0
0.13833333333333334,0.4564327160493828,4.53,3881.0
0.15763888888888888,0.4277694444444445,3.86,4436.0
0.1627777777777778,-0.31825030864197523,4.3,4577.0
0.17449074074074075,0.3533814814814814,5.5,4889.0
0.17481481481481484,0.08766759259259263,4.27,4906.0
0.19050925925925927,-0.10908981481481482,3.46,5364.0
0.1936574074074074,0.39578703703703705,2.07,5447.0
0.2048148148148148,0.2731530864197531,4.67,5742.0
0.22069444444444447,0.3029342592592592,4.74,6193.0
0.23337962962962963,-0.08685833333333336,3.6,6537.0
0.2454166666666667,-0.4742475308641975,3.41,6867.0
0.250462962962963,0.06826604938271603,4.84,7007.0
0.2540740740740741,0.17050925925925922,3.62,7097.0
0.28171296296296294,0.06097345679012341,4.45,7884.0
0.28912037037037036,-0.15622716049382715,3.49,8102.0
0.29273148148148154,0.10175154320987663,4.26,8198.0
0.3095833333333333,-0.1073895061728395,3.74,8645.0
0.31407407407407406,0.32865987654320983,3.42,8796.0
0.3153240740740741,0.2143787037037037,3.88,8832.0
0.3154166666666667,0.0354163580246914,4.61,8833.0
0.31842592592592595,0.23120339506172846,2.64,8903.0
0.3389814814814815,0.030708333333333348,3.82,9487.0
0.34412037037037035,0.4703317901234569,2.1,9640.0
0.3532407407407408,0.2606975308641975,2.01,9884.0
0.3598148148148148,0.38874876543209874,3.0,10064.0
0.36944444444444446,0.09829722222222223,4.36,10324.0
0.37759259259259265,0.37065524691358026,5.25,10559.0
0.38703703703703696,-0.011366049382716091,6.47,10826.0
0.4054166666666667,-0.13010617283950615,4.88,11345.0
0.41152777777777777,0.09400092592592589,4.3,11484.0
0.4224537037037038,-0.16395185185185188,4.74,11783.0
0.432962962962963,0.06214783950617288,4.87,12093.0
0.44296296296296295,0.003650308641975326,4.08,12387.0
0.4431944444444445,-0.11253796296296295,4.83,12390.0
0.4438425925925925,-0.45675956790123434,4.74,12413.0
0.4462499999999999,-0.4238299382716049,4.11,12486.0
0.4536111111111112,0.03595740740740736,3.47,12706.0
0.45587962962962963,-0.13490370370370375,4.24,12770.0
0.4581481481481482,0.11238024691358027,4.27,12828.0
0.4585648148148148,-0.19363734567901233,4.47,12843.0
0.469675925925926,-0.3510413580246914,4.45,13147.0
0.47212962962962957,0.3028975308641975,3.61,13209.0
0.4737962962962964,0.42576574074074075,4.22,13254.0
0.4900462962962963,-0.07891543209876552,3.89,13701.0
0.49513888888888896,-0.4410586419753088,2.88,13847.0
0.4991666666666667,0.098970987654321,4.71,13954.0
0.5062962962962962,0.04544351851851853,2.54,14135.0
0.5066203703703703,-0.2486185185185185,4.08,14146.0
0.514351851851852,0.4315614197530865,3.32,14354.0
0.5226851851851851,0.4550626543209877,2.09,14576.0
0.5335185185185186,-0.30012098765432094,3.8,14879.0
0.5439814814814815,-0.07977962962962962,4.8,15197.0
0.5541666666666666,-0.22491172839506168,3.7,15474.0
0.5552314814814815,-0.47698271604938264,4.26,15510.0
0.5688888888888889,0.10032283950617286,3.61,15900.0
0.5914814814814815,-0.09490771604938272,3.72,16537.0
0.5938425925925924,-0.22630216049382706,4.26,16611.0
0.6200925925925926,-0.0914978395061728,3.52,17378.0
0.6231018518518519,0.35875864197530866,3.84,17448.0
0.6300925925925925,-0.25279506172839505,4.22,17651.0
0.6349537037037037,-0.4042206790123457,4.3,17797.0
0.6365277777777777,0.2672614197530864,3.62,17847.0
0.637361111111111,-0.39777654320987654,4.17,17874.0
0.650324074074074,0.354262962962963,2.84,18246.0
0.6606944444444445,0.44455864197530864,2.9,18532.0
0.66375,0.39767808641975305,3.98,18614.0
0.6685185185185186,0.13878209876543207,3.41,18724.0
0.7055555555555556,-0.46340154320987653,3.85,19747.0
0.7163425925925926,-0.35779629629629633,3.55,20042.0
0.7216203703703705,0.17364104938271605,3.65,20205.0
0.7303703703703702,0.1949175925925927,3.77,20455.0
0.733425925925926,-0.3775888888888889,3.97,20535.0
0.7374537037037037,0.19919999999999996,4.3,20648.0
0.7461111111111111,0.21311697530864204,3.53,20889.0
0.74625,0.17634382716049385,3.4,20894.0
0.752314814814815,-0.47829166666666656,5.07,21060.0
0.7654166666666665,-0.32708549382716057,3.81,21393.0
0.766435185185185,0.18344166666666664,0.87,21421.0
0.7675462962962963,-0.02941728395061729,3.93,21444.0
0.7726851851851851,-0.15218240740740738,3.86,21594.0
0.7793055555555556,-0.44596018518518515,4.44,21770.0
0.7834722222222222,-0.40950246913580246,5.04,21861.0
0.7839814814814815,0.2550774691358025,4.27,21881.0
0.7930555555555555,-0.030504320987654248,4.01,22109.0
0.8050925925925926,0.0773472222222223,3.19,22449.0
0.8072222222222222,0.09889166666666666,4.35,22509.0
0.8088888888888888,0.06227901234567905,3.68,22549.0
0.8135648148148147,-0.050525000000000056,4.36,22701.0
0.8149074074074073,0.027869753086419754,5.33,22730.0
0.8191203703703703,0.1127904320987655,4.64,22845.0
0.8249537037037038,0.3685126543209876,2.69,23015.0
0.8292592592592591,0.019044753086419695,4.47,23123.0
0.8401851851851851,0.45639876543209873,3.69,23453.0
0.8484722222222222,-0.24032376543209877,3.19,23685.0
0.8551388888888889,-0.05459722222222215,2.78,23875.0
0.858703703703704,-0.08051018518518525,4.25,23972.0
0.8674537037037038,-0.11256512345679019,4.45,24244.0
0.869212962962963,-0.17549537037037038,3.29,24305.0
0.8700462962962963,-0.12287469135802477,4.36,24327.0
0.8737037037037036,-0.08664845679012341,0.18,24436.0
0.887685185185185,-0.14248024691358033,4.29,24845.0
0.8888425925925925,-0.12982654320987655,5.29,24873.0
0.9031018518518519,0.07055246913580251,1.64,25336.0
0.9063425925925926,0.31786512345679013,1.65,25428.0
0.9117592592592593,-0.21378641975308646,2.81,25606.0
0.92,-0.38366172839506174,3.86,25859.0
0.9222222222222223,0.003323148148148094,2.25,25930.0
0.9242129629629628,-0.17975216049382714,2.58,25985.0
0.9309259259259259,0.11037962962962966,3.39,26207.0
0.9338888888888888,-0.008867592592592644,1.69,26311.0
0.9378703703703704,0.23491759259259265,2.97,26451.0
0.9434259259259258,-0.37695493827160487,2.65,26634.0
0.9465277777777779,-0.0006379629629629827,1.74,26727.0
0.9568055555555556,-0.23947222222222217,3.59,27072.0
0.96375,-0.14642283950617285,3.55,27288.0
0.9659722222222222,-0.09255987654320989,2.07,27366.0
0.974861111111111,-0.3803410493827161,3.12,27628.0
0.9758796296296297,-0.21247222222222223,3.76,27654.0
0.9843981481481483,0.22529351851851845,4.39,27913.0
0.9865740740740742,0.08230030864197539,0.45,27989.0
0.9900000000000001,-0.15368858024691354,3.71,28103.0
0.993148148148148,-0.38574104938271603,4.36,28199.0
0.9975925925925928,-0.4576098765432101,3.96,28328.0
0.9986574074074073,0.49941604938271605,1.9,28360.0
0.9992129629629631,0.41347530864197535,2.65,28380.0
1.0065740740740743,0.10719290123456789,4.12,28614.0
1.0095833333333333,0.21878456790123454,5.14,28691.0
1.011435185185185,0.25848487654320995,4.16,28734.0
1.0170833333333331,-0.14516358024691367,4.67,28910.0
1.0210185185185183,0.16409475308641974,4.42,29038.0
1.0248611111111112,0.02777469135802464,5.7,29151.0
1.0331481481481481,0.15787561728395064,4.45,29426.0
1.0412500000000002,-0.06361419753086418,3.99,29651.0
1.0412962962962962,0.2500759259259259,3.31,29655.0
1.045972222222222,-0.3873253086419753,4.37,29807.0
1.0563888888888886,-0.33262901234567893,3.02,30122.0
1.0613888888888887,-0.3618191358024692,3.85,30277.0
1.0630092592592593,-0.1782675925925926,1.98,30324.0
1.06375,0.250154012345679,2.87,30343.0
1.0660185185185187,0.05103148148148146,4.39,30419.0
1.0800462962962964,-0.07741049382716057,3.76,30867.0
1.0804166666666666,0.22457962962962955,4.13,30883.0
1.0973611111111112,-0.23372407407407408,4.54,31416.0
1.101898148148148,-0.20826975308641982,3.95,31592.0
1.1047222222222224,0.18221574074074076,1.93,31681.0
1.1048611111111113,-0.4756009259259258,3.17,31685.0
1.1219907407407406,0.27923518518518525,3.06,32246.0
1.125416666666667,-0.16985401234567898,-1.44,32349.0
1.1257870370370369,0.1432895061728396,3.35,32362.0
1.138425925925926,-0.3499055555555556,3.5,32759.0
1.1466203703703703,0.3773484567901235,3.6,33018.0
1.1505092592592592,-0.13290462962962962,4.08,33160.0
1.1506018518518522,-0.24524043209876537,6.65,33165.0
1.155925925925926,-0.18828611111111115,4.36,33347.0
1.162824074074074,-0.3003101851851852,1.5,33579.0
