x,y,lum,HIPnum
0.6763157982393312,0.02475012544708852,2.07,677.0
0.34250116431244787,0.013706372941775347,2.28,746.0
0.829907804632748,0.04797329044894985,2.83,1067.0
0.9053336329037793,0.08152890984773939,5.38,1645.0
0.6474520782940479,0.1121738444582475,3.27,3092.0
0.3660161785583927,0.06536219629992591,2.24,3179.0
0.8985729931362483,0.19215896486130637,5.92,3760.0
0.5307850353909369,0.11718634044329924,4.53,3881.0
0.3154626909809019,0.0796778888850248,2.15,4427.0
0.5547768624520151,0.14025135150620718,3.86,4436.0
0.6224815846583284,0.17502052808839338,5.5,4889.0
0.878151102440869,0.24738848576213424,4.27,4906.0
0.5764723234277427,0.18097780232476826,2.07,5447.0
0.6895540076173104,0.2298297334115782,4.67,5742.0
0.6555977902059161,0.23683788630951183,4.74,6193.0
0.30781111529590593,0.12093983359725001,2.66,6686.0
0.8605504019961684,0.35718505057900246,4.84,7007.0
0.7643024178155948,0.3223301150929876,3.62,7097.0
0.8485777480299322,0.4021027908397791,4.45,7884.0
0.8049489274547587,0.39863205379807554,4.26,8198.0
0.5912848397239326,0.3179304950388077,3.42,8796.0
0.6912064732082627,0.37340920260388355,3.88,8832.0
0.8485946940040939,0.45859420806901685,4.61,8833.0
0.2568676257840704,0.14002454414712634,3.35,8886.0
0.6746152999484114,0.3687036978932103,2.64,8903.0
0.8350984045189728,0.49207417107516477,3.82,9487.0
0.45415308056781345,0.27256814187389355,2.1,9640.0
0.6283844218531951,0.38948833004663946,2.01,9884.0
0.5161917381063619,0.3273746497081236,3.0,10064.0
0.7540815497450243,0.4943975280948549,4.36,10324.0
0.5218527951910413,0.3517733338226531,5.25,10559.0
0.7232060164075172,0.5457173078206788,4.3,11484.0
0.006447716764090502,0.005027699298825303,1.97,11767.0
0.7291912655694012,0.5897853619413032,4.87,12093.0
0.7647364509013278,0.6386633449103465,4.08,12387.0
0.7295005498093748,0.6302436577709191,3.47,12706.0
0.6675180778883507,0.585054221214956,4.27,12828.0
0.5140263442075279,0.47088084473237674,3.61,13209.0
