x,y,lum,HIPnum
0.03657919223971449,0.5077308238155838,2.07,677.0
0.04101523742186674,-0.7723605538850503,3.88,765.0
0.057741309420145735,0.26500400623128334,2.83,1067.0
0.0847211907738914,-0.12524773600519962,3.56,1562.0
0.08981173442554155,0.1429468290614657,5.38,1645.0
0.11431906600562859,-0.7386247938850438,3.93,2072.0
0.1146099542142943,-0.7277130923643114,2.4,2081.0
0.17155132106060933,0.538629938967419,3.27,3092.0
0.19016816641521544,-0.27948490607234405,2.04,3419.0
0.21067578512614885,0.12740758095454263,5.92,3760.0
0.21729349187329403,0.7169628337993885,4.53,3881.0
0.24761858762669547,0.6719386720484269,3.86,4436.0
0.2556907354171693,-0.49990641581615686,4.3,4577.0
0.2740894146152762,0.5550903330684498,5.5,4889.0
0.2745984689804412,0.137707932423396,4.27,4906.0
0.2992512446648611,-0.1713578804018466,3.46,5364.0
0.30419634421217834,0.6217008239708135,2.07,5447.0
0.32172235878428806,0.42906786480083714,4.67,5742.0
0.34666602267737373,0.47584802170477725,4.74,6193.0
0.3665918649709756,-0.13643675095152677,3.6,6537.0
0.3854995985342476,-0.7449462794730308,3.41,6867.0
0.3934263022203885,0.10723205961516936,4.84,7007.0
0.39909862228937004,0.2678353181289631,3.62,7097.0
0.44251368743272895,0.0957768819579132,4.45,7884.0
0.45414921577935785,-0.24540104984930045,3.49,8102.0
0.45982153584833946,0.15983095031978642,4.26,8198.0
0.48629236283692007,-0.16868704183261415,3.74,8645.0
0.49334640189706375,0.5162577268389382,3.42,8796.0
0.49530989730555747,0.3367452803208293,3.88,8832.0
0.49545534140989034,0.05563188509363821,4.61,8833.0
0.5001822748007083,0.3631734437054724,2.64,8903.0
0.5324708659626034,0.04823653720199331,3.82,9487.0
0.5405430137530771,0.7387954483007942,2.1,9640.0
0.554869258029864,0.4095027238859806,2.01,9884.0
0.565195789437497,0.6106451327867916,3.0,10064.0
0.5803219762881145,0.15440491560080835,4.36,10324.0
0.5931210574694064,0.5822239003591073,5.25,10559.0
0.607956356111358,-0.017853748620539837,6.47,10826.0
0.636827010821431,-0.20437029838963822,4.88,11345.0
0.6464263217073998,0.14765630915976355,4.3,11484.0
0.6635887260186775,-0.25753496666011,4.74,11783.0
0.6800966318604571,0.09762159801453511,4.87,12093.0
0.695804595128406,0.005733891406482509,4.08,12387.0
0.6961682053892383,-0.17677421884720232,4.83,12390.0
0.6971863141195681,-0.717476251487683,4.74,12413.0
0.7009678608322225,-0.6657505102227448,4.11,12486.0
0.7125306671266851,0.056481763476623086,3.47,12706.0
0.7160940476828401,-0.21190624224880492,4.24,12770.0
0.7196574282389953,0.1765264790561554,4.27,12828.0
0.7203119267084931,-0.3041648313229062,4.47,12843.0
0.7377652192284365,-0.5514144757382774,4.45,13147.0
0.741619487993257,0.47579032887672523,3.61,13209.0
0.7442374818712488,0.6687912616306638,4.22,13254.0
0.7697629221816658,-0.12396007086817294,3.89,13701.0
0.7777623479199732,-0.6928132947159604,2.88,13847.0
0.7840891664584526,0.15546326386667048,4.71,13954.0
0.7952883624920828,0.07138251196552477,2.54,14135.0
0.7957974168572478,-0.3905290556620778,4.08,14146.0
0.8079419995690418,0.6778950929345388,3.32,14354.0
0.8210319689589991,0.7148107458689432,2.09,14576.0
0.838048929165944,-0.4714289450014638,3.8,14879.0
0.8544841129555573,-0.12531754917527949,4.8,15197.0
0.8704829644321717,-0.35329051681605433,3.7,15474.0
0.8721555716319997,-0.7492426983150234,4.26,15510.0
0.8936085770210968,0.15758674778993026,3.61,15900.0
0.9290969384783148,-0.14908069175486344,3.72,16537.0
0.9328057631388025,-0.3554746024494527,4.26,16611.0
0.9740391667171688,-0.1437244702059652,3.52,17378.0
0.9787661001079867,0.5635367570207402,3.84,17448.0
0.9897471299851176,-0.39708955439485205,4.22,17651.0
0.997382945462593,-0.6349483578071315,4.3,17797.0
0.9998554952362514,0.41981325644213713,3.62,17847.0
1.0011644921752472,-0.6248259329592455,4.17,17874.0
1.0215266667818477,0.5564749609416988,2.84,18246.0
1.0378164064671282,0.6983110818597423,2.9,18532.0
1.0426160619101126,0.6246712773949715,3.98,18614.0
1.050106433283255,0.21799841096562725,3.41,18724.0
1.1082840750163994,-0.7279094419051606,3.85,19747.0
1.1252283131711776,-0.5620251079630407,3.55,20042.0
1.1335186271181508,0.2727547225511816,3.65,20205.0
1.1472630949776057,0.30617583847214874,3.77,20455.0
1.1520627504205905,-0.593115239705233,3.97,20535.0
1.1583895689590697,0.31290262829754334,4.3,20648.0
1.1719885927141922,0.3347633619924536,3.53,20889.0
1.1722067588706915,0.27700023595665785,3.4,20894.0
1.1817333477044942,-0.7512987931366089,5.07,21060.0
1.2023136884675936,-0.5137846922515986,3.81,21393.0
1.203913573615255,0.2881494961811338,0.87,21421.0
1.2056589028672495,-0.0462085615739121,3.93,21444.0
1.2137310506577232,-0.23904756655836,3.86,21594.0
1.2241303041175229,-0.7005126207856607,4.44,21770.0
1.2306752888125017,-0.643244974331959,5.04,21861.0
1.2314752313863324,0.4006747515666571,4.27,21881.0
1.2457287536109527,-0.047916075358779765,4.01,22109.0
1.2646364871742246,0.12149673255445538,3.19,22449.0
1.2679817015738803,0.1553386667506253,4.35,22509.0
1.2705996954518717,0.09782764382900666,3.68,22549.0
1.2779446227206812,-0.07936448441131223,4.36,22701.0
1.2800535622335076,0.04377770577682888,5.33,22730.0
1.286671268980653,0.17717079643835004,4.64,22845.0
1.2958342475536233,0.5788583237848448,2.69,23015.0
1.3025973984051011,0.029915428192863826,4.47,23123.0
